         24506273 function calls (12656933 primitive calls) in 23.992 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.009    0.003 /usr/lib/python3.13/site-packages/sage/rings/polynomial/polynomial_ring.py:1804(__init__)
        1    0.000    0.000    0.009    0.009 /usr/lib/python3.13/site-packages/Crypto/Cipher/_mode_eax.py:1(<module>)
    48580    0.008    0.000    0.008    0.000 {built-in method builtins.isinstance}
       36    0.000    0.000    0.008    0.000 /usr/lib/python3.13/site-packages/sage/categories/category.py:3037(__init__)
     2046    0.001    0.000    0.008    0.000 /home/sergi/projects/postquantic-pot-code/src/falcon/fft.py:134(sub_fft)
     4100    0.001    0.000    0.008    0.000 /home/sergi/projects/postquantic-pot-code/src/context/context.py:215(<genexpr>)
     10/1    0.000    0.000    0.008    0.008 /usr/lib/python3.13/site-packages/sage/categories/sets_cat.py:464(Quotients)
     10/1    0.000    0.000    0.008    0.008 /usr/lib/python3.13/site-packages/sage/categories/quotients.py:24(default_super_categories)
    17065    0.008    0.000    0.008    0.000 /usr/lib/python3.13/site-packages/Crypto/Util/_raw_api.py:138(get_raw_buffer)
     20/2    0.000    0.000    0.008    0.004 /usr/lib/python3.13/site-packages/sage/categories/covariant_functorial_construction.py:666(default_super_categories)
     20/2    0.000    0.000    0.008    0.004 /usr/lib/python3.13/site-packages/sage/categories/covariant_functorial_construction.py:520(default_super_categories)
       34    0.003    0.000    0.008    0.000 /home/sergi/projects/postquantic-pot-code/src/ecoin/oaep.py:21(enc)
    25/14    0.000    0.000    0.007    0.001 /usr/lib/python3.13/site-packages/sage/categories/category_with_axiom.py:2146(super_categories)
        1    0.000    0.000    0.007    0.007 /home/sergi/projects/postquantic-pot-code/src/ecoin/__init__.py:68(hy)
     2047    0.002    0.000    0.007    0.000 /home/sergi/projects/postquantic-pot-code/src/falcon/fft.py:109(sub)
        9    0.000    0.000    0.007    0.001 /usr/lib/python3.13/site-packages/sage/categories/unital_algebras.py:74(__init_extra__)
    55296    0.007    0.000    0.007    0.000 {built-in method sage.misc.randstate.current_randstate}
